Dominio,DNSSEC activo,Valida,Motivo,NSEC,Algoritmo,Keysize bits,RRsets firmadas,DS en zona padre
unam.mx,Si,Si,,NSEC,ECDSA P-256 SHA256,256,2,Si
tec.mx,No,No,No DNSKEY,N/A,N/A,,0,No
itesm.mx,No,No,No DNSKEY,N/A,N/A,,0,No
uanl.mx,No,No,No DNSKEY,N/A,N/A,,0,No
udg.mx,No,No,No DNSKEY,N/A,N/A,,0,No
uv.mx,No,No,No DNSKEY,N/A,N/A,,0,No
uabc.mx,No,No,No DNSKEY,N/A,N/A,,0,No
uady.mx,No,No,No DNSKEY,N/A,N/A,,0,No
uacj.mx,No,No,No DNSKEY,N/A,N/A,,0,No
uaq.mx,No,No,No DNSKEY,N/A,N/A,,0,No
uaslp.mx,No,No,No DNSKEY,N/A,N/A,,0,No
uach.mx,No,No,No DNSKEY,N/A,N/A,,0,No
ucol.mx,No,No,No DNSKEY,N/A,N/A,,0,No
umich.mx,No,No,No DNSKEY,N/A,N/A,,0,No
buap.mx,No,No,No DNSKEY,N/A,N/A,,0,No
ipn.mx,Si,No,DS no coincide con DNSKEY,N/A,RSA/SHA512,2080,2,No
cinvestav.mx,No,No,No DNSKEY,N/A,N/A,,0,No
colmex.mx,No,No,No DNSKEY,N/A,N/A,,0,No
cide.mx,No,No,No DNSKEY,N/A,N/A,,0,No
itam.mx,No,No,No DNSKEY,N/A,N/A,,0,No
gob.mx,Si,Si,,NSEC3,RSA/SHA256,1056,2,Si
imss.gob.mx,No,No,No DNSKEY,N/A,N/A,,0,No
issste.gob.mx,No,No,No DNSKEY,N/A,N/A,,0,No
salud.gob.mx,No,No,No DNSKEY,N/A,N/A,,0,No
sep.gob.mx,No,No,No DNSKEY,N/A,N/A,,0,No
ine.mx,No,No,No DNSKEY,N/A,N/A,,0,No
inegi.org.mx,No,No,No DNSKEY,N/A,N/A,,0,No
profeco.gob.mx,No,No,No DNSKEY,N/A,N/A,,0,No
conagua.gob.mx,No,No,No DNSKEY,N/A,N/A,,0,No
banxico.org.mx,No,No,No DNSKEY,N/A,N/A,,0,No
bbva.mx,No,No,No DNSKEY,N/A,N/A,,0,No
santander.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
hsbc.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
scotiabank.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
banamex.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
banorte.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
inbursa.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
banregio.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
afirme.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
bancoppel.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
amazon.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
mercadolibre.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
walmart.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
liverpool.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
elektra.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
coppel.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
soriana.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
chedraui.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
sanborns.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
palaciohierro.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
telmex.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
telcel.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
izzi.mx,No,No,No DNSKEY,N/A,N/A,,0,No
totalplay.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
megacable.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
movistar.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
att.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
bait.mx,No,No,No DNSKEY,N/A,N/A,,0,No
infinitum.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
axtel.mx,No,No,No DNSKEY,N/A,N/A,,0,No
aeromexico.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
volaris.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
vivaaerobus.com.mx,Si,Si,,NSEC3,RSA/SHA256,1056,2,Si
ado.com.mx,Si,No,DS no coincide con DNSKEY,N/A,ECDSA P-256 SHA256,256,1,No
etn.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
estrellablanca.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
asur.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
gap.com.mx,No,No,No DNSKEY,N/A,N/A,,0,No
pemex.com,Si,Si,,NSEC3,ECDSA P-256 SHA256,256,1,Si
cfe.mx,No,No,No DNSKEY,N/A,N/A,,0,No
economia.gob.mx,No,No,No DNSKEY,N/A,N/A,,0,No
hacienda.gob.mx,No,No,No DNSKEY,N/A,N/A,,0,No
semarnat.gob.mx,Si,Si,,NSEC3,RSA/SHA256,2080,2,Si
sedena.gob.mx,No,No,No DNSKEY,N/A,N/A,,0,No
senado.gob.mx,No,No,No DNSKEY,N/A,N/A,,0,No
diputados.gob.mx,No,No,No DNSKEY,N/A,N/A,,0,No
sat.gob.mx,No,No,No DNSKEY,N/A,N/A,,0,No
conahcyt.mx,No,No,No DNSKEY,N/A,N/A,,0,No
